Metadata: {"arch":"arm64","binary_sha256":"7d31a144584607a38a79e7d51f49d748ef53ba4b0294948b98bd60894cbd92af","binary_size":2261264,"console_log":"console.log","engine":"besen","repository":"https://github.com/BeRo1985/besen.git","revision":"1c271815cf13291d3e4b636999ff7ecd7aa0993b","revision_date":"2020-10-21"}
es1/Array.js: OK
es1/Array.length.assignment.js: OK
es1/Array.length.js: OK
es1/Array.prototype.constructor.js: OK
es1/Array.prototype.join.generic.js: OK
es1/Array.prototype.join.js: OK
es1/Array.prototype.reverse.generic.js: OK
es1/Array.prototype.reverse.js: OK
es1/Array.prototype.sort.generic.js: OK
es1/Array.prototype.sort.js: OK
es1/Array.prototype.toString.js: OK
es1/Boolean.js: OK
es1/Boolean.prototype.constructor.js: OK
es1/Boolean.prototype.toString.js: OK
es1/Boolean.prototype.valueOf.js: OK
es1/Date.diff.js: OK
es1/Date.js: new Date(2000, 0, 1).getFullYear() != 2000; new Date(2000, 0, 1).getMonth() != 0; new Date(2000, 0, 1).getDate() != 1
es1/Date.prototype.constructor.js: OK
es1/Date.prototype.getDate.js: failed
es1/Date.prototype.getDay.js: failed
es1/Date.prototype.getFullYear.js: failed
es1/Date.prototype.getHours.js: OK
es1/Date.prototype.getMilliseconds.js: failed
es1/Date.prototype.getMinutes.js: OK
es1/Date.prototype.getMonth.js: OK
es1/Date.prototype.getSeconds.js: OK
es1/Date.prototype.getTimezoneOffset.js: OK
es1/Date.prototype.getTime.js: OK
es1/Date.prototype.getUTCDate.js: OK
es1/Date.prototype.getUTCDay.js: OK
es1/Date.prototype.getUTCFullYear.js: OK
es1/Date.prototype.getUTCHours.js: OK
es1/Date.prototype.getUTCMilliseconds.js: OK
es1/Date.prototype.getUTCMinutes.js: OK
es1/Date.prototype.getUTCMonth.js: OK
es1/Date.prototype.getUTCSeconds.js: OK
es1/Date.prototype.setDate.js: OK
es1/Date.prototype.setFullYear.js: OK
es1/Date.prototype.setHours.js: OK
es1/Date.prototype.setMilliseconds.js: failed
es1/Date.prototype.setMinutes.js: OK
es1/Date.prototype.setMonth.js: OK
es1/Date.prototype.setSeconds.js: OK
es1/Date.prototype.setTime.js: OK
es1/Date.prototype.setUTCDate.js: OK
es1/Date.prototype.setUTCFullYear.js: OK
es1/Date.prototype.setUTCHours.js: OK
es1/Date.prototype.setUTCMilliseconds.js: OK
es1/Date.prototype.setUTCMinutes.js: OK
es1/Date.prototype.setUTCMonth.js: OK
es1/Date.prototype.setUTCSeconds.js: OK
es1/Date.prototype.toLocaleString.js: OK
es1/Date.prototype.toString.js: OK
es1/Date.prototype.toUTCString.js: OK
es1/Date.prototype.valueOf.js: OK
es1/Function.js: OK
es1/Function.length.js: OK
es1/Function.prototype.constructor.js: OK
es1/Function.prototype.js: OK
es1/Function.prototype.toString.js: OK
es1/Math.E.js: OK
es1/Math.LN2.js: OK
es1/Math.LN10.js: OK
es1/Math.LOG2E.js: OK
es1/Math.LOG10E.js: OK
es1/Math.PI.js: OK
es1/Math.SQRT1_2.js: OK
es1/Math.SQRT2.js: OK
es1/Math.abs.js: OK
es1/Math.acos.js: OK
es1/Math.asin.js: OK
es1/Math.atan2.js: OK
es1/Math.atan.js: OK
es1/Math.ceil.js: OK
es1/Math.cos.js: OK
es1/Math.exp.js: OK
es1/Math.floor.js: OK
es1/Math.log.js: OK
es1/Math.max.js: OK
es1/Math.min.js: OK
es1/Math.pow.js: OK
es1/Math.random.js: OK
es1/Math.round.js: OK
es1/Math.sin.js: OK
es1/Math.sqrt.js: OK
es1/Math.tan.js: OK
es1/Number.MAX_VALUE.js: OK
es1/Number.MIN_VALUE.js: OK
es1/Number.NEGATIVE_INFINITY.js: OK
es1/Number.NaN.js: OK
es1/Number.POSITIVE_INFINITY.js: OK
es1/Number.js: OK
es1/Number.prototype.constructor.js: OK
es1/Number.prototype.toString.js: OK
es1/Number.prototype.valueOf.js: OK
es1/Object.js: OK
es1/Object.prototype.constructor.js: OK
es1/Object.prototype.toString.js: OK
es1/Object.prototype.valueOf.js: OK
es1/String.fromCharCode.js: OK
es1/String.generics.js: OK
es1/String.js: OK
es1/String.length.js: OK
es1/String.prototype.charAt.js: OK
es1/String.prototype.charCodeAt.js: OK
es1/String.prototype.constructor.js: OK
es1/String.prototype.indexOf.js: OK
es1/String.prototype.lastIndexOf.js: OK
es1/String.prototype.split.js: OK
es1/String.prototype.substring.js: OK
es1/String.prototype.toLowerCase.js: OK
es1/String.prototype.toString.js: OK
es1/String.prototype.toUpperCase.js: OK
es1/String.prototype.valueOf.js: OK
es1/annex-b.Date.prototype.getYear.js: failed
es1/annex-b.Date.prototype.setYear.js: OK
es1/annex-b.Date.prototype.toGMTString.js: OK
es1/annex-b.global.escape.js: failed
es1/annex-b.global.unescape.js: OK
es1/annex-b.literals.octal.js: SyntaxError: Bad number literal
es1/annex-b.literals.string.octal.js: OK
es1/arguments.callee.js: OK
es1/arguments.js: OK
es1/asi.eval.js: OK
es1/asi.js: SyntaxError: Illegal line terminator before postfix increment
es1/assignment.bitwise.js: OK
es1/assignment.js: OK
es1/assignment.ltr.js: OK
es1/assignment.unsigned-shift.js: OK
es1/bitwise.binary.js: OK
es1/bitwise.shifts.js: OK
es1/bitwise.tilde.js: OK
es1/bitwise.unsigned-shift.js: OK
es1/break.js: OK
es1/comma.js: OK
es1/comments.js: OK
es1/conditional.js: OK
es1/continue.js: OK
es1/conversions.ToBoolean.js: OK
es1/conversions.ToInt32.js: OK
es1/conversions.ToInteger.js: OK
es1/conversions.ToNumber.js: OK
es1/conversions.ToObject.js: OK
es1/conversions.ToString.js: OK
es1/conversions.ToUint32.js: OK
es1/conversions.js: OK
es1/equals.js: OK
es1/eval.js: OK
es1/for-in.js: OK
es1/for.js: OK
es1/functions.js: OK
es1/global.Infinity.js: OK
es1/global.NaN.js: OK
es1/global.isFinite.js: OK
es1/global.isNaN.js: OK
es1/global.parseFloat.js: OK
es1/global.parseInt.hex.js: OK
es1/global.parseInt.js: OK
es1/global.parseInt.radix.js: OK
es1/literals.decimal.js: OK
es1/literals.hex.js: OK
es1/literals.string.escapes.js: OK
es1/literals.string.hex.js: OK
es1/literals.string.js: OK
es1/literals.string.unicode.js: OK
es1/logical.js: OK
es1/new.typeof.js: OK
es1/numbers.double.js: OK
es1/numbers.fmod.js: -5.5 % 2.5 sign failed
es1/numbers.inf.js: OK
es1/numbers.int.js: OK
es1/numbers.nan.js: OK
es1/postfix.decrement.js: OK
es1/postfix.increment.js: OK
es1/prefix.js: OK
es1/relational.js: OK
es1/return.js: OK
es1/return.typeof.js: OK
es1/this.js: OK
es1/typeof.js: OK
es1/typeof.null.js: OK
es1/typeof.undeclared.js: OK
es1/types.js: OK
es1/unary.decrement.js: OK
es1/unary.delete.js: OK
es1/unary.delete.var.js: OK
es1/unary.increment.js: OK
es1/unary.minus.js: OK
es1/unary.not.js: OK
es1/unary.plus.js: OK
es1/unary.plus.str.js: OK
es1/unary.tilde.js: OK
es1/var.js: OK
es1/var.typeof.js: OK
es1/void.js: OK
es1/void.typeof.js: OK
es1/while.js: OK
es1/with.js: OK
es3/Array.prototype.concat.js: OK
es3/Array.prototype.pop.generic.js: OK
es3/Array.prototype.pop.js: OK
es3/Array.prototype.push.generic.js: OK
es3/Array.prototype.push.js: OK
es3/Array.prototype.shift.generic.js: OK
es3/Array.prototype.shift.js: OK
es3/Array.prototype.slice.generic.js: OK
es3/Array.prototype.slice.js: OK
es3/Array.prototype.splice.generic.js: OK
es3/Array.prototype.splice.js: OK
es3/Array.prototype.toLocaleString.js: TypeError: No string
es3/Array.prototype.unshift.generic.js: unshift on object failed; unshift multiple on object failed; unshift on empty object failed
es3/Array.prototype.unshift.js: unshift single element failed; unshift multiple elements failed; unshift on empty array failed; unshift with no arguments failed
es3/Array.prototype.unshift.returns-new-length.js: empty array unshift failed; multiple elements unshift failed; no arguments unshift failed
es3/Date.prototype.toDateString.js: OK
es3/Date.prototype.toLocaleDateString.js: OK
es3/Date.prototype.toLocaleString.js: OK
es3/Date.prototype.toLocaleTimeString.js: OK
es3/Date.prototype.toTimeString.js: OK
es3/Error.js: OK
es3/Error.prototype.constructor.js: OK
es3/Error.prototype.message.js: OK
es3/Error.prototype.name.js: OK
es3/Error.prototype.toString.js: OK
es3/Function.prototype.apply.js: OK
es3/Function.prototype.call.js: OK
es3/Math.max.variadic.js: OK
es3/Math.min.variadic.js: OK
es3/Number.prototype.toExponential.edge-cases.js: NaN.toExponential(Infinity) throws; Infinity.toExponential(Infinity) throws
es3/Number.prototype.toExponential.js: zero failed
es3/Number.prototype.toExponential.rounding.js: (25).toExponential(0) != '3e+1' (got: '2e+1'); (12345).toExponential(3) != '1.235e+4' (got: '1.2341235e+4'); (1.25).toExponential(1) != '1.26e+0' (got: '1.213e+0')
es3/Number.prototype.toExponential.throws-infinity.js: OK
es3/Number.prototype.toFixed.js: large number precision failed
es3/Number.prototype.toLocaleString.js: OK
es3/Number.prototype.toPrecision.js: toPrecision() undefined arg failed; small number exponential notation failed; zero failed
es3/Object.prototype.hasOwnProperty.js: OK
es3/Object.prototype.isPrototypeOf.js: OK
es3/Object.prototype.propertyIsEnumerable.js: OK
es3/Object.prototype.toLocaleString.js: OK
es3/RegExp.global.js: OK
es3/RegExp.ignoreCase.js: OK
es3/RegExp.js: RegExp passthrough failed
es3/RegExp.lastIndex.js: OK
es3/RegExp.multiline.js: OK
es3/RegExp.prototype.constructor.js: OK
es3/RegExp.prototype.exec.js: OK
es3/RegExp.prototype.test.js: OK
es3/RegExp.prototype.toString.js: OK
es3/RegExp.source.js: OK
es3/String.prototype.concat.generic.js: OK
es3/String.prototype.concat.js: OK
es3/String.prototype.localeCompare.js: OK
es3/String.prototype.match.generic.js: OK
es3/String.prototype.match.js: global match failed; multiple global matches failed
es3/String.prototype.replace.capture.js: OK
es3/String.prototype.replace.extra.js: OK
es3/String.prototype.replace.generic.js: OK
es3/String.prototype.replace.regex.js: OK
es3/String.prototype.replace.str.js: OK
es3/String.prototype.search.generic.js: OK
es3/String.prototype.search.js: OK
es3/String.prototype.search.str.js: OK
es3/String.prototype.slice.generic.js: OK
es3/String.prototype.slice.js: OK
es3/String.prototype.split.bugs.js: OK
es3/String.prototype.split.limit.js: OK
es3/String.prototype.split.regex.js: OK
es3/String.prototype.toLocaleLowerCase.js: OK
es3/String.prototype.toLocaleUpperCase.js: OK
es3/annex-b.String.prototype.substr.js: OK
es3/do-while.js: OK
es3/function-expressions.IIFE.js: OK
es3/function-expressions.js: OK
es3/global.EvalError.js: OK
es3/global.RangeError.js: OK
es3/global.RangeError.thrown.js: OK
es3/global.ReferenceError.js: OK
es3/global.ReferenceError.thrown.js: OK
es3/global.SyntaxError.js: OK
es3/global.SyntaxError.thrown.js: timeout: >10s
es3/global.TypeError.js: OK
es3/global.TypeError.thrown.js: OK
es3/global.URIError.js: OK
es3/global.URIError.thrown.js: OK
es3/global.decodeURIComponent.js: OK
es3/global.decodeURI.js: decode plain URI failed; # not decoded failed; reserved URI characters preserved failed
