Metadata: {"arch":"arm64","console_log":"print","dist_size":1190498961,"engine":"rpython-langjs","repository":"https://github.com/progval/rpython-langjs.git","revision":"d31b8ee3be4904200d64a6cbe12c8200f2c3aaf9","revision_date":"2017-10-01"}
es1/Array.js: OK
es1/Array.length.assignment.js: OK
es1/Array.length.js: OK
es1/Array.prototype.constructor.js: OK
es1/Array.prototype.join.generic.js: OK
es1/Array.prototype.join.js: OK
es1/Array.prototype.reverse.generic.js: OK
es1/Array.prototype.reverse.js: reverse returns this failed
es1/Array.prototype.sort.generic.js: OK
es1/Array.prototype.sort.js: sort with comparefn failed; reverse comparefn failed
es1/Array.prototype.toString.js: OK
es1/Boolean.js: OK
es1/Boolean.prototype.constructor.js: OK
es1/Boolean.prototype.toString.js: OK
es1/Boolean.prototype.valueOf.js: OK
es1/Date.diff.js: failed
es1/Date.js: typeof Date() != 'string'; new Date(2000, 0, 1).getFullYear() != 2000; new Date(2000, 0, 1).getMonth() != 0; new Date(2000, 0, 1).getDate() != 1; new Date(0).getTime() != 0
es1/Date.prototype.constructor.js: OK
es1/Date.prototype.getDate.js: failed
es1/Date.prototype.getDay.js: failed
es1/Date.prototype.getFullYear.js: failed
es1/Date.prototype.getHours.js: failed
es1/Date.prototype.getMilliseconds.js: failed
es1/Date.prototype.getMinutes.js: failed
es1/Date.prototype.getMonth.js: failed
es1/Date.prototype.getSeconds.js: failed
es1/Date.prototype.getTimezoneOffset.js: OK
es1/Date.prototype.getTime.js: OK
es1/Date.prototype.getUTCDate.js: NotImplementedError
es1/Date.prototype.getUTCDay.js: NotImplementedError
es1/Date.prototype.getUTCFullYear.js: NotImplementedError
es1/Date.prototype.getUTCHours.js: NotImplementedError
es1/Date.prototype.getUTCMilliseconds.js: NotImplementedError
es1/Date.prototype.getUTCMinutes.js: NotImplementedError
es1/Date.prototype.getUTCMonth.js: NotImplementedError
es1/Date.prototype.getUTCSeconds.js: NotImplementedError
es1/Date.prototype.setDate.js: OK
es1/Date.prototype.setFullYear.js: failed
es1/Date.prototype.setHours.js: OK
es1/Date.prototype.setMilliseconds.js: OK
es1/Date.prototype.setMinutes.js: OK
es1/Date.prototype.setMonth.js: OK
es1/Date.prototype.setSeconds.js: OK
es1/Date.prototype.setTime.js: TypeError: %s is not an instnace of Date
es1/Date.prototype.setUTCDate.js: NotImplementedError
es1/Date.prototype.setUTCFullYear.js: NotImplementedError
es1/Date.prototype.setUTCHours.js: NotImplementedError
es1/Date.prototype.setUTCMilliseconds.js: NotImplementedError
es1/Date.prototype.setUTCMinutes.js: NotImplementedError
es1/Date.prototype.setUTCMonth.js: NotImplementedError
es1/Date.prototype.setUTCSeconds.js: NotImplementedError
es1/Date.prototype.toLocaleString.js: TypeError: undefined is not a callable (toLocaleString)
es1/Date.prototype.toString.js: OK
es1/Date.prototype.toUTCString.js: OK
es1/Date.prototype.valueOf.js: OK
es1/Function.js: OK
es1/Function.length.js: OK
es1/Function.prototype.constructor.js: OK
es1/Function.prototype.js: OK
es1/Function.prototype.toString.js: OK
es1/Math.E.js: failed
es1/Math.LN2.js: failed
es1/Math.LN10.js: failed
es1/Math.LOG2E.js: failed
es1/Math.LOG10E.js: failed
es1/Math.PI.js: failed
es1/Math.SQRT1_2.js: failed
es1/Math.SQRT2.js: failed
es1/Math.abs.js: OK
es1/Math.acos.js: OK
es1/Math.asin.js: OK
es1/Math.atan2.js: OK
es1/Math.atan.js: OK
es1/Math.ceil.js: OK
es1/Math.cos.js: OK
es1/Math.exp.js: OK
es1/Math.floor.js: OK
es1/Math.log.js: OK
es1/Math.max.js: OK
es1/Math.min.js: OK
es1/Math.pow.js: OK
es1/Math.random.js: OK
es1/Math.round.js: OK
es1/Math.sin.js: OK
es1/Math.sqrt.js: OK
es1/Math.tan.js: OK
es1/Number.MAX_VALUE.js: failed
es1/Number.MIN_VALUE.js: failed
es1/Number.NEGATIVE_INFINITY.js: failed
es1/Number.NaN.js: OK
es1/Number.POSITIVE_INFINITY.js: failed
es1/Number.js: OK
es1/Number.prototype.constructor.js: OK
es1/Number.prototype.toString.js: OK
es1/Number.prototype.valueOf.js: OK
es1/Object.js: OK
es1/Object.prototype.constructor.js: OK
es1/Object.prototype.toString.js: OK
es1/Object.prototype.valueOf.js: OK
es1/String.fromCharCode.js: OK
es1/String.generics.js: OK
es1/String.js: OK
es1/String.length.js: OK
es1/String.prototype.charAt.js: OK
es1/String.prototype.charCodeAt.js: OK
es1/String.prototype.constructor.js: OK
es1/String.prototype.indexOf.js: OK
es1/String.prototype.lastIndexOf.js: OK
es1/String.prototype.split.js: OK
es1/String.prototype.substring.js: OK
es1/String.prototype.toLowerCase.js: OK
es1/String.prototype.toString.js: OK
es1/String.prototype.toUpperCase.js: OK
es1/String.prototype.valueOf.js: OK
es1/annex-b.Date.prototype.getYear.js: failed
es1/annex-b.Date.prototype.setYear.js: OK
es1/annex-b.Date.prototype.toGMTString.js: OK
es1/annex-b.global.escape.js: OK
es1/annex-b.global.unescape.js: OK
es1/annex-b.literals.octal.js: OK
es1/annex-b.literals.string.octal.js: OK
es1/arguments.callee.js: OK
es1/arguments.js: OK
es1/asi.eval.js: SyntaxError: in "%s" at line:%d, column:%d
es1/asi.js: Syntax Error in: asi.js:21; // LeftHandSideExpression [no LineTerminator here] ++; ^; Error: ['EOF']
es1/assignment.bitwise.js: OK
es1/assignment.js: OK
es1/assignment.ltr.js: OK
es1/assignment.unsigned-shift.js: OK
es1/bitwise.binary.js: OK
es1/bitwise.shifts.js: OK
es1/bitwise.tilde.js: OK
es1/bitwise.unsigned-shift.js: OK
es1/break.js: OK
es1/comma.js: OK
es1/comments.js: OK
es1/conditional.js: OK
es1/continue.js: OK
es1/conversions.ToBoolean.js: OK
es1/conversions.ToInt32.js: OverflowError: cannot convert float infinity to integer
es1/conversions.ToInteger.js: OK
es1/conversions.ToNumber.js: OK
es1/conversions.ToObject.js: OK
es1/conversions.ToString.js: OK
es1/conversions.ToUint32.js: OverflowError: cannot convert float infinity to integer
es1/conversions.js: false == true
es1/equals.js: false == true
es1/eval.js: OK
es1/for-in.js: OK
es1/for.js: OK
es1/functions.js: OK
es1/global.Infinity.js: OK
es1/global.NaN.js: OK
es1/global.isFinite.js: OK
es1/global.isNaN.js: OK
es1/global.parseFloat.js: OK
es1/global.parseInt.hex.js: OK
es1/global.parseInt.js: OK
es1/global.parseInt.radix.js: OK
es1/literals.decimal.js: OK
es1/literals.hex.js: OK
es1/literals.string.escapes.js: OK
es1/literals.string.hex.js: OK
es1/literals.string.js: OK
es1/literals.string.unicode.js: OK
es1/logical.js: OK
es1/new.typeof.js: OK
es1/numbers.double.js: failed
es1/numbers.fmod.js: 5.5 % 2.5 failed; 7.2 % 3.0 failed; -5.5 % 2.5 sign failed
es1/numbers.inf.js: +Infinity magnitude failed; -Infinity magnitude failed
es1/numbers.int.js: OK
es1/numbers.nan.js: OK
es1/postfix.decrement.js: OK
es1/postfix.increment.js: OK
es1/prefix.js: OK
es1/relational.js: OK
es1/return.js: OK
es1/return.typeof.js: OK
es1/this.js: OK
es1/typeof.js: OK
es1/typeof.null.js: OK
es1/typeof.undeclared.js: OK
es1/types.js: OK
es1/unary.decrement.js: OK
es1/unary.delete.js: OK
es1/unary.delete.var.js: OK
es1/unary.increment.js: OK
es1/unary.minus.js: OK
es1/unary.not.js: OK
es1/unary.plus.js: OK
es1/unary.plus.str.js: OK
es1/unary.tilde.js: OK
es1/var.js: OK
es1/var.typeof.js: OK
es1/void.js: OK
es1/void.typeof.js: OK
es1/while.js: OK
es1/with.js: OK
es3/Array.prototype.concat.js: TypeError: undefined is not a callable (concat)
es3/Array.prototype.pop.generic.js: OK
es3/Array.prototype.pop.js: OK
es3/Array.prototype.push.generic.js: OK
es3/Array.prototype.push.js: OK
es3/Array.prototype.shift.generic.js: OK
es3/Array.prototype.shift.js: OK
es3/Array.prototype.slice.generic.js: slice object with start only failed; slice object with negative start failed
es3/Array.prototype.slice.js: timeout: >10s
es3/Array.prototype.splice.generic.js: TypeError: W_Undefined.ToObject
es3/Array.prototype.splice.js: TypeError: undefined is not a callable (splice)
es3/Array.prototype.toLocaleString.js: empty array toLocaleString failed; multiple elements content failed
es3/Array.prototype.unshift.generic.js: TypeError: W_Undefined.ToObject
es3/Array.prototype.unshift.js: TypeError: undefined is not a callable (unshift)
es3/Array.prototype.unshift.returns-new-length.js: TypeError: undefined is not a callable (unshift)
es3/Date.prototype.toDateString.js: TypeError: undefined is not a callable (toDateString)
es3/Date.prototype.toLocaleDateString.js: TypeError: undefined is not a callable (toLocaleDateString)
es3/Date.prototype.toLocaleString.js: TypeError: undefined is not a callable (toLocaleString)
es3/Date.prototype.toLocaleTimeString.js: TypeError: undefined is not a callable (toLocaleTimeString)
es3/Date.prototype.toTimeString.js: TypeError: undefined is not a callable (toTimeString)
es3/Error.js: ReferenceError: Error is not defined
es3/Error.prototype.constructor.js: ReferenceError: Error is not defined
es3/Error.prototype.message.js: ReferenceError: Error is not defined
es3/Error.prototype.name.js: ReferenceError: Error is not defined
es3/Error.prototype.toString.js: ReferenceError: Error is not defined
es3/Function.prototype.apply.js: OK
es3/Function.prototype.call.js: OK
es3/Math.max.variadic.js: OK
es3/Math.min.variadic.js: OK
es3/Number.prototype.toExponential.edge-cases.js: NaN.toExponential(Infinity) throws; Infinity.toExponential(Infinity) throws
es3/Number.prototype.toExponential.js: TypeError: undefined is not a callable (toExponential)
es3/Number.prototype.toExponential.rounding.js: TypeError: undefined is not a callable (toExponential)
es3/Number.prototype.toExponential.throws-infinity.js: ReferenceError: RangeError is not defined
es3/Number.prototype.toFixed.js: TypeError: undefined is not a callable (toFixed)
es3/Number.prototype.toLocaleString.js: OK
es3/Number.prototype.toPrecision.js: TypeError: undefined is not a callable (toPrecision)
es3/Object.prototype.hasOwnProperty.js: TypeError: undefined is not a callable (hasOwnProperty)
es3/Object.prototype.isPrototypeOf.js: TypeError: undefined is not a callable (isPrototypeOf)
es3/Object.prototype.propertyIsEnumerable.js: TypeError: undefined is not a callable (propertyIsEnumerable)
es3/Object.prototype.toLocaleString.js: custom toString failed
es3/RegExp.global.js: Syntax Error in: RegExp.global.js:20; ^; Error: ['EOF']
es3/RegExp.ignoreCase.js: Syntax Error in: RegExp.ignoreCase.js:20; ^; Error: ['EOF']
es3/RegExp.js: ReferenceError: RegExp is not defined
es3/RegExp.lastIndex.js: ReferenceError: RegExp is not defined
es3/RegExp.multiline.js: Syntax Error in: RegExp.multiline.js:20; ^; Error: ['EOF']
es3/RegExp.prototype.constructor.js: ReferenceError: RegExp is not defined
es3/RegExp.prototype.exec.js: ReferenceError: RegExp is not defined
es3/RegExp.prototype.test.js: ReferenceError: RegExp is not defined
es3/RegExp.prototype.toString.js: ReferenceError: RegExp is not defined
es3/RegExp.source.js: ReferenceError: RegExp is not defined
es3/String.prototype.concat.generic.js: OK
es3/String.prototype.concat.js: OK
es3/String.prototype.localeCompare.js: TypeError: undefined is not a callable (localeCompare)
